DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
8,ANDREWS,30799,SHAFTERLAKE,SHAFTER LAKE,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.65363396191108,32.3692257022406
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
