DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
8,REEVES,200,SALTDRAW,SALT DRAW,SILURO-DEVONIAN,SILURO / DEVONIAN,269SLDV,269.0,SLDV,SILURIAN-DEVONIAN,-103.68730455,31.36241972
8,CRANE,835,CORDONALAKE,CORDONA LAKE,SANANGELO,SAN ANGELO,453SAGL,453.0,SAGL,PERMIAN GUADALUPIAN,-102.5471190676169,31.31732948220131
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
8,ANDREWS,6980,MARTIN,MARTIN,CONSOLIDATED,C V CONSOLIDATED,553CNLV,553.0,CNLV,UPPER JURASSIC,-102.7686662199435,32.16349503487827
