District,Discovery County,Avg Concen,Field,Formation
7C,IRION,7749,HONDOPIPELINE,FUSSELMAN
7C,REAGAN,5799,HONDORAINBOW,FUSSELMAN
7C,TOMGREEN,272,HOUR,STRAWN
7C,CROCKETT,38766,HOWARDDRAW,GRAYBURGSANANDRES
7C,CROCKETT,35437,HOWARDDRAW,SHALLOW
7C,CROCKETT,40151,"HOWARDDRAW,NE.",QUEEN
7C,IRION,35268,HOWDA,SANANDRES
7C,CROCKETT,55,HUPPLER,ELLENBURGER
7C,COKE,798,I.A.B.,MENIELLEPENN.
7C,COKE,315,I.A.B.,"MENIELLEPENN,UPPER"
7C,COKE,78,I.A.B.,PENN5070
7C,COKE,498,I.A.B.,STRAWN
7C,COKE,4412,"I.A.B.,NE.",PENN.5150
7C,CROCKETT,5042,INGHAM,QUEEN
7C,IRION,11684,IRION163,ELLEN
7C,CROCKETT,207,JM,ELLENBURGER
7C,VALVERDE,217,JM,PERMIANUPPER
7C,CROCKETT,80,"JM,N.",ELLENBURGER
7C,RUNNELS,586,J.P.D.,GOENLM.
7C,COKE,240,"JAMESON,SE.",STRAWN
7C,REAGAN,27011,JOHNSCOTT,GRAYBURG
7C,TOMGREEN,233,KENKER,PALOPINTO
7C,TOMGREEN,3600,KENKER,REEF
7C,TOMGREEN,28500,"KENNEMER,W.",ELLENBURGER
7C,IRION,4123,KETCHUMMT.,CLEARFORK
7C,RUNNELS,200,KING,ELLENBURGER
7C,UPTON,6691,KINGMOUNTAIN,DEVONIAN
7C,UPTON,11917,KINGMOUNTAIN,ELLENBURGER
7C,UPTON,1846,KINGMT.,STRAWN
7C,UPTON,587,"KINGMOUNTAIN,S.",DEVONIAN
7C,TOMGREEN,349,KURTW.BOLEY,"STRAWN,UPPER"
7C,CROCKETT,404,LANCASTERHILL,STRAWN
7C,REAGAN,4000,LEGS,FUSSELMAN
7C,CROCKETT,85000,LITTLE,SOMA
7C,IRION,4770,LONEJOEDEEP,FUSSELMAN
7C,CROCKETT,1313,M.P.I.,ELLENBURGER
7C,CROCKETT,4780,MAGGIENEAL,GRAYBURG
7C,UPTON,1616,MCCAMEY,DEVONIAN
7C,UPTON,122,MCCAMEY,QUEEN
7C,UPTON,1540,MCCAMEY,SILURIAN
7C,UPTON,41107,"MCCAMEY,W.",JOINS
7C,IRION,498,MERTZON,CANYON
7C,IRION,6570,MERTZON,SANANGELO
7C,CROCKETT,82500,MIDWAYLANE,PERMIAN
7C,CROCKETT,96000,MIDWAYLANE,1050SD.
7C,CROCKETT,25037,MIDWAYLANE,1300
7C,CROCKETT,11250,"MIDWAYLANE,NE.",SANANDRES
7C,UPTON,32102,MIETHER,GRAYBURG
7C,RUNNELS,1680,MIKEHILL,ELLENBURGER
7C,CROCKETT,210,MILLER,STRAWN
7C,COKE,300,MILLICAN,STRAWNREEF
7C,CROCKETT,39000,MILLSPAUGHRANCH,SANANDRES
7C,CROCKETT,34,MITCHELLRANCH,CANYONSAND
7C,RUNNELS,7958,"MOTLEY,NORTH",GOENLIME
7C,SCHLEICHER,2498,"NEVA,WEST",CANYON
7C,SCHLEICHER,2245,"NEVA,WEST",STRAWN
7C,CROCKETT,4100,NOELKE,QUEEN
7C,CROCKETT,5980,NOELKE,"WOLFCAMP,LOWER"
7C,CROCKETT,3140,"NOELKE,WEST",880
7C,SCHLEICHER,800,"OTTO,NORTH",STRAWN
7C,CROCKETT,76250,OZONA,ELLENBURGER
7C,CROCKETT,1982,"OZONA,EAST",ELLENBURGER
7C,CROCKETT,3522,PADGITT,CONNELL
7C,CROCKETT,15000,PADGITT,STRAWNUPPER
7C,CONCHO,379,"PAINTROCK,S.W.",GARDNER
7C,CROCKETT,1600,PARKER-HARRELL,ELLENBURGER
7C,CROCKETT,2364,PARKERRANCH,STRAWN
7C,RUNNELS,141,PAULTHOMAS,GOEN
7C,RUNNELS,200,PEARLVALLEY,"CAPPS,UP."
7C,MIDLAND,217,PEGASUS,SANANDRES
7C,CROCKETT,600,PERNERRANCH,ELLEN
7C,IRION,3112,PETERSON,SANANDRES
7C,SUTTON,2000,PHYLLISSONORA,STRAWN
7C,RUNNELS,582,PICCARD,ELLENBURGER
7C,REAGAN,21650,PINKPANTHER,SILURO-DEV.
7C,RUNNELS,169,POE,GOENSAND
7C,CROCKETT,250,PONLAW,QUEEN
7C,REAGAN,30573,PRICE,GRAYBURG
7C,CROCKETT,3605,RANCH,STRAWN
7C,CROCKETT,2755,RANCHHAND,ELLENBURGER
7C,COKE,5282,RAWLINGS,"JENNINGS,UPPER"
7C,COKE,9862,RAWLINGS,5100
7C,IRION,20589,RIVES,SANANDRES
7C,IRION,1410,ROCKER-B-,SANANDRES
7C,RUNNELS,9133,ROWENA,CAPPSLIME
7C,RUNNELS,965,ROWENA,"CAPPS,LOWER"
7C,TOMGREEN,1938,RUNION,STRAWN
7C,SCHLEICHER,4000,SIEWILLIAMS,STRAWN
7C,SUTTON,6,SAWYER,"STRAWN,NORTH"
7C,CROCKETT,2200,SERIGHT,ELLENBURGER
7C,CROCKETT,1710,SHANNON,CISCO
7C,CROCKETT,21866,SHANNON,SANANDRES
7C,UPTON,36347,SHIRK,GRAYBURG
7C,IRION,3960,SIXTY-SEVEN,CANYON
7C,IRION,8698,SIXTYSEVEN,STRAWNREEF
7C,REAGAN,5992,SLEDGEHAMMER,FUSSELMAN
7C,TOMGREEN,1120,SMITH&CARAWAY,STRAWN
7C,CROCKETT,2327,SOUTHWESTMESA,WOLFCAMP
7C,CONCHO,310,SPECK,JENNINGS
7C,GLASSCOCK,1874,SPRABERRY,TRENDAREA
7C,TOMGREEN,2670,STARLIGHT,BRECKENRIDGE
7C,TOMGREEN,6520,STARLIGHT,HOPE
7C,TOMGREEN,10351,STARLIGHT,PALOPINTO
7C,UPTON,950,SUGARLOAF,GRAYBURG
7C,IRION,150000,"SUGG,NORTH",SANANDRES
7C,CROCKETT,27959,SUSITA,SANANDRES
7C,CROCKETT,18500,T-4RANCH,WOLFCAMP
7C,IRION,1628,TANKERSLEY,WOLFCAMP
7C,SCHLEICHER,2864,"TANKERSLEY,SW.",STAWN-ELLEN
7C,UPTON,492,TEXEL,DEVONIAN
7C,UPTON,730,TEXEL,ELLENBURGER
7C,REAGAN,5536,"TEXON,S",GRAYBURG
7C,CROCKETT,1061,TIPPETT,CLEARFORKLO.
7C,CROCKETT,380,TIPPETT,"LEONARD,LOWER"
7C,CROCKETT,232,TIPPETT,WOLFCAMPUPPER
7C,CROCKETT,16445,"TIPPETT,NORTH",ELLENBURGER
7C,CROCKETT,11905,"TIPPETT,NORTH",MCKEE
7C,CROCKETT,10000,"TIPPETT,W.",ELLENBURGER
7C,CROCKETT,461,"TIPPETT,WEST",HUECO
7C,CROCKETT,362,"TIPPETT,W.",MCKEE
7C,CROCKETT,613,"TIPPETT,W.",WOLFCAMP5050
7C,CROCKETT,36363,TODD,GRAYBURG
7C,CROCKETT,37141,TODD,SANANDRES
7C,CROCKETT,3966,TODD,STRAWN
7C,CROCKETT,34490,"TODD,DEEP",CRINOIDAL
